cancer,method,class,f1_mean,f1_std,n
prad,mixup,FOXA1,0.0,0.0,5
prad,mixup,Other,0.857,0.03,5
prad,mixup,SPOP,0.68,0.22,5
prad,none,ERG,0.94,0.022,5
prad,none,FOXA1,0.0,0.0,5
prad,none,Other,0.887,0.023,5
prad,none,SPOP,0.781,0.1,5
prad,random,ERG,0.964,0.013,5
prad,random,FOXA1,0.0,0.0,5
prad,random,Other,0.856,0.03,5
prad,random,SPOP,0.643,0.121,5
prad,random_tuned,ERG,0.935,0.021,5
prad,random_tuned,FOXA1,0.0,0.0,5
prad,random_tuned,Other,0.848,0.024,5
prad,random_tuned,SPOP,0.532,0.031,5
prad,rf_none,ERG,0.959,0.01,5
prad,rf_none,FOXA1,0.0,0.0,5
prad,rf_none,Other,0.873,0.009,5
prad,rf_none,SPOP,0.75,0.0,5
prad,rf_smote,ERG,0.964,0.013,5
prad,rf_smote,FOXA1,0.0,0.0,5
prad,rf_smote,Other,0.873,0.01,5
prad,rf_smote,SPOP,0.79,0.022,5
prad,smote,ERG,0.95,0.011,5
prad,smote,FOXA1,0.0,0.0,5
prad,smote,Other,0.843,0.017,5
prad,smote,SPOP,0.639,0.06,5
prad,smote_tuned,ERG,0.95,0.011,5
prad,smote_tuned,FOXA1,0.0,0.0,5
prad,smote_tuned,Other,0.843,0.017,5
prad,smote_tuned,SPOP,0.639,0.06,5
prad,wgan_gp,ERG,0.906,0.02,5
prad,wgan_gp,FOXA1,0.0,0.0,5
prad,wgan_gp,Other,0.84,0.019,5
prad,wgan_gp,SPOP,0.794,0.098,5
prad,xgb_none,ERG,0.957,0.0,5
prad,xgb_none,FOXA1,0.0,0.0,5
prad,xgb_none,Other,0.952,0.0,5
prad,xgb_none,SPOP,1.0,0.0,5
prad,xgb_smote,ERG,0.957,0.0,5
prad,xgb_smote,FOXA1,0.2,0.274,5
prad,xgb_smote,Other,0.961,0.014,5
prad,xgb_smote,SPOP,0.775,0.133,5
