cancer,method,n_synth,seed,accuracy,macro_f1,weighted_f1,roc_auc_ovr,class_0_f1,class_1_f1,class_2_f1,class_3_f1,class_4_f1,mmd,correlation_score,training_time_seconds,timestamp
brca,xgb_smote,1059,45,0.8243243243243243,0.8031528220207467,0.8200590629835911,0.9567511534637536,0.9811320754716981,0.9166666666666666,0.8441558441558441,0.6071428571428571,0.6666666666666666,,,7.288929462432861,2026-05-06T21:20:02
brca,xgb_smote,1059,46,0.8175675675675675,0.7968442796805547,0.8119069658935758,0.9568820011257678,0.9811320754716981,0.8333333333333334,0.8387096774193549,0.6037735849056604,0.7272727272727273,,,7.226078510284424,2026-05-06T21:20:10
coad,rf_none,0,42,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9926815001590115,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.8772857189178467,2026-05-06T21:20:11
coad,rf_none,0,43,0.8823529411764706,0.8647727272727274,0.8813725490196079,0.990787560765072,0.8,0.9166666666666666,0.8333333333333334,0.9090909090909091,,,,0.8920130729675293,2026-05-06T21:20:13
coad,rf_none,0,44,0.8823529411764706,0.8647727272727274,0.8813725490196079,0.9900103925310073,0.8,0.9166666666666666,0.8333333333333334,0.9090909090909091,,,,0.9131636619567871,2026-05-06T21:20:15
coad,rf_none,0,45,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9917345304620417,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.8749146461486816,2026-05-06T21:20:17
coad,rf_none,0,46,0.8529411764705882,0.8426190476190477,0.8516246498599439,0.9894692669898817,0.8,0.88,0.8333333333333334,0.8571428571428571,,,,0.8666224479675293,2026-05-06T21:20:19
coad,rf_smote,62,42,0.9117647058823529,0.8864285714285713,0.9106722689075631,0.9907199200724313,0.8,0.96,0.8333333333333334,0.9523809523809523,,,,0.8727891445159912,2026-05-06T21:20:20
coad,rf_smote,62,43,0.8823529411764706,0.8647727272727274,0.8813725490196079,0.9808485773347093,0.8,0.9166666666666666,0.8333333333333334,0.9090909090909091,,,,0.8945412635803223,2026-05-06T21:20:22
coad,rf_smote,62,44,0.8823529411764706,0.8641025641025641,0.8806938159879337,0.9926815001590115,0.8,0.9230769230769231,0.8333333333333334,0.9,,,,0.8707561492919922,2026-05-06T21:20:24
coad,rf_smote,62,45,0.8235294117647058,0.7932600732600733,0.8186683904330962,0.9894692669898817,0.6666666666666666,0.88,0.7692307692307693,0.8571428571428571,,,,0.8827319145202637,2026-05-06T21:20:26
coad,rf_smote,62,46,0.9117647058823529,0.8864285714285713,0.9106722689075631,0.9892582929314564,0.8,0.96,0.8333333333333334,0.9523809523809523,,,,0.8884050846099854,2026-05-06T21:20:28
coad,xgb_none,0,42,0.8529411764705882,0.8290909090909091,0.8528342245989305,0.9641823568735113,0.8,0.88,0.7272727272727273,0.9090909090909091,,,,1.3299148082733154,2026-05-06T21:20:30
coad,xgb_none,0,43,0.8529411764705882,0.8290909090909091,0.8528342245989305,0.9641823568735113,0.8,0.88,0.7272727272727273,0.9090909090909091,,,,1.117124319076538,2026-05-06T21:20:31
coad,xgb_none,0,44,0.8529411764705882,0.8290909090909091,0.8528342245989305,0.9641823568735113,0.8,0.88,0.7272727272727273,0.9090909090909091,,,,1.2417049407958984,2026-05-06T21:20:33
coad,xgb_none,0,45,0.8529411764705882,0.8290909090909091,0.8528342245989305,0.9641823568735113,0.8,0.88,0.7272727272727273,0.9090909090909091,,,,1.15962553024292,2026-05-06T21:20:35
coad,xgb_none,0,46,0.8529411764705882,0.8290909090909091,0.8528342245989305,0.9641823568735113,0.8,0.88,0.7272727272727273,0.9090909090909091,,,,1.1810657978057861,2026-05-06T21:20:37
coad,xgb_smote,62,42,0.8235294117647058,0.7806060606060606,0.8203921568627451,0.9668667695373092,0.6666666666666666,0.88,0.6666666666666666,0.9090909090909091,,,,1.7451591491699219,2026-05-06T21:20:39
coad,xgb_smote,62,43,0.8529411764705882,0.8224358974358974,0.8561840120663651,0.9671117769037559,0.8,0.9230769230769231,0.6666666666666666,0.9,,,,1.6226518154144287,2026-05-06T21:20:42
coad,xgb_smote,62,44,0.7941176470588235,0.7591575091575091,0.7916397328162033,0.9487786950680505,0.6666666666666666,0.8461538461538461,0.6666666666666666,0.8571428571428571,,,,1.6993365287780762,2026-05-06T21:20:44
coad,xgb_smote,62,45,0.8529411764705882,0.8021978021978022,0.8496013790131436,0.9745432884207247,0.6666666666666666,0.9230769230769231,0.6666666666666666,0.9523809523809523,,,,1.6032025814056396,2026-05-06T21:20:47
coad,xgb_smote,62,46,0.8529411764705882,0.8021978021978022,0.8496013790131436,0.9651633598785023,0.6666666666666666,0.9230769230769231,0.6666666666666666,0.9523809523809523,,,,1.7916765213012695,2026-05-06T21:20:49
